Relación con la actividad y situación de actividad/inactividad,Personas sin y con discapacidad,año,Total
Ocupados: Total,Personas sin discapacidad,2018-01-01T00:00:00Z,"18.646,8"
Ocupados: Total,Personas sin discapacidad,2017-01-01T00:00:00Z,"18.167,6"
Ocupados: Total,Personas sin discapacidad,2016-01-01T00:00:00Z,"17.720,7"
Ocupados: Total,Personas sin discapacidad,2015-01-01T00:00:00Z,"17.302,7"
Ocupados: Total,Personas sin discapacidad,2014-01-01T00:00:00Z,"16.816,1"
Ocupados: Total,Personas con discapacidad,2019-01-01T00:00:00Z,"485,9"
Ocupados: Total,Personas con discapacidad,2018-01-01T00:00:00Z,"489,5"
Ocupados: Total,Personas con discapacidad,2017-01-01T00:00:00Z,"481,0"
Ocupados: Total,Personas con discapacidad,2016-01-01T00:00:00Z,"462,0"
Ocupados: Total,Personas con discapacidad,2015-01-01T00:00:00Z,"414,8"
Ocupados: Total,Personas con discapacidad,2014-01-01T00:00:00Z,"394,4"
Ocupados: Total,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"64,3"
Ocupados: Total,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"63,4"
Ocupados: Total,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"62,1"
Ocupados: Total,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"60,5"
Ocupados: Total,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"58,7"
Ocupados: Total,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"56,8"
Ocupados: Total,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"66,9"
Ocupados: Total,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"65,9"
Ocupados: Total,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"64,4"
Ocupados: Total,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"62,8"
Ocupados: Total,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"60,9"
Ocupados: Total,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"58,9"
Ocupados: Total,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"25,9"
Ocupados: Total,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"25,8"
Ocupados: Total,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"25,9"
Ocupados: Total,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"25,1"
Ocupados: Total,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"23,4"
Ocupados: Total,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"22,6"
Ocupados: Asalariados,Total,2019-01-01T00:00:00Z,"16.570,5"
Ocupados: Asalariados,Total,2018-01-01T00:00:00Z,"16.143,8"
Ocupados: Asalariados,Total,2017-01-01T00:00:00Z,"15.631,1"
Ocupados: Asalariados,Total,2016-01-01T00:00:00Z,"15.156,0"
Ocupados: Asalariados,Total,2015-01-01T00:00:00Z,"14.707,9"
Ocupados: Asalariados,Total,2014-01-01T00:00:00Z,"14.229,6"
Ocupados: Asalariados,Personas sin discapacidad,2019-01-01T00:00:00Z,"16.135,6"
Ocupados: Asalariados,Personas sin discapacidad,2018-01-01T00:00:00Z,"15.709,7"
Ocupados: Asalariados,Personas sin discapacidad,2017-01-01T00:00:00Z,"15.202,5"
Ocupados: Asalariados,Personas sin discapacidad,2016-01-01T00:00:00Z,"14.749,6"
Ocupados: Asalariados,Personas sin discapacidad,2015-01-01T00:00:00Z,"14.340,5"
Ocupados: Asalariados,Personas sin discapacidad,2014-01-01T00:00:00Z,"13.885,3"
Ocupados: Asalariados,Personas con discapacidad,2019-01-01T00:00:00Z,"434,9"
Ocupados: Asalariados,Personas con discapacidad,2018-01-01T00:00:00Z,"434,0"
Ocupados: Asalariados,Personas con discapacidad,2017-01-01T00:00:00Z,"428,7"
Ocupados: Asalariados,Personas con discapacidad,2016-01-01T00:00:00Z,"406,4"
Ocupados: Asalariados,Personas con discapacidad,2015-01-01T00:00:00Z,"367,3"
Ocupados: Asalariados,Personas con discapacidad,2014-01-01T00:00:00Z,"344,3"
Ocupados: Asalariados,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"54,5"
Ocupados: Asalariados,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"53,5"
Ocupados: Asalariados,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"52,0"
Ocupados: Asalariados,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"50,4"
Ocupados: Asalariados,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"48,7"
Ocupados: Asalariados,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"46,9"
Ocupados: Asalariados,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"56,5"
Ocupados: Asalariados,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"55,5"
Ocupados: Asalariados,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"53,9"
Ocupados: Asalariados,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"52,3"
Ocupados: Asalariados,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"50,5"
Ocupados: Asalariados,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"48,6"
Ocupados: Asalariados,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"23,2"
Ocupados: Asalariados,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"22,8"
Ocupados: Asalariados,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"23,0"
Ocupados: Asalariados,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"22,1"
Ocupados: Asalariados,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"20,7"
Ocupados: Asalariados,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"19,8"
Ocupados: Cuenta propia,Total,2019-01-01T00:00:00Z,"2.989,8"
Ocupados: Cuenta propia,Total,2018-01-01T00:00:00Z,"2.985,8"
Ocupados: Cuenta propia,Total,2017-01-01T00:00:00Z,"3.010,9"
Ocupados: Cuenta propia,Total,2016-01-01T00:00:00Z,"3.020,5"
Ocupados: Cuenta propia,Total,2015-01-01T00:00:00Z,"3.004,5"
Ocupados: Cuenta propia,Total,2014-01-01T00:00:00Z,"2.973,8"
Ocupados: Cuenta propia,Personas sin discapacidad,2019-01-01T00:00:00Z,"2.939,2"
Ocupados: Cuenta propia,Personas sin discapacidad,2018-01-01T00:00:00Z,"2.930,9"
Ocupados: Cuenta propia,Personas sin discapacidad,2017-01-01T00:00:00Z,"2.958,6"
Ocupados: Cuenta propia,Personas sin discapacidad,2016-01-01T00:00:00Z,"2.965,0"
Ocupados: Cuenta propia,Personas sin discapacidad,2015-01-01T00:00:00Z,"2.957,2"
Ocupados: Cuenta propia,Personas sin discapacidad,2014-01-01T00:00:00Z,"2.924,0"
Ocupados: Cuenta propia,Personas con discapacidad,2019-01-01T00:00:00Z,"50,6"
Ocupados: Cuenta propia,Personas con discapacidad,2018-01-01T00:00:00Z,"54,9"
Ocupados: Cuenta propia,Personas con discapacidad,2017-01-01T00:00:00Z,"52,2"
Ocupados: Cuenta propia,Personas con discapacidad,2016-01-01T00:00:00Z,"55,4"
Ocupados: Cuenta propia,Personas con discapacidad,2015-01-01T00:00:00Z,"47,3"
Ocupados: Cuenta propia,Personas con discapacidad,2014-01-01T00:00:00Z,"49,8"
Ocupados: Cuenta propia,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"9,8"
Ocupados: Cuenta propia,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"9,9"
Ocupados: Cuenta propia,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"10,0"
Ocupados: Cuenta propia,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"10,0"
Ocupados: Cuenta propia,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"10,0"
Ocupados: Cuenta propia,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"9,8"
Ocupados: Cuenta propia,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"10,3"
Ocupados: Cuenta propia,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"10,4"
Ocupados: Cuenta propia,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"10,5"
Ocupados: Cuenta propia,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"10,5"
Ocupados: Cuenta propia,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"10,4"
Ocupados: Cuenta propia,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"10,2"
Ocupados: Cuenta propia,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"2,7"
Ocupados: Cuenta propia,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"2,9"
Ocupados: Cuenta propia,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"2,8"
Ocupados: Cuenta propia,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"3,0"
Ocupados: Cuenta propia,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"2,7"
Ocupados: Cuenta propia,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"2,9"
Ocupados: Otra situación profesional,Total,2019-01-01T00:00:00Z,"7,7"
Ocupados: Otra situación profesional,Total,2018-01-01T00:00:00Z,"6,8"
Ocupados: Otra situación profesional,Total,2017-01-01T00:00:00Z,"6,5"
Ocupados: Otra situación profesional,Total,2016-01-01T00:00:00Z,"6,2"
Ocupados: Otra situación profesional,Total,2015-01-01T00:00:00Z,"5,1"
Ocupados: Otra situación profesional,Total,2014-01-01T00:00:00Z,"7,2"
Ocupados: Otra situación profesional,Personas sin discapacidad,2019-01-01T00:00:00Z,"7,2"
Ocupados: Otra situación profesional,Personas sin discapacidad,2018-01-01T00:00:00Z,"6,2"
Ocupados: Otra situación profesional,Personas sin discapacidad,2017-01-01T00:00:00Z,"6,5"
Ocupados: Otra situación profesional,Personas sin discapacidad,2016-01-01T00:00:00Z,"6,1"
Ocupados: Otra situación profesional,Personas sin discapacidad,2015-01-01T00:00:00Z,"4,9"
Ocupados: Otra situación profesional,Personas sin discapacidad,2014-01-01T00:00:00Z,"6,9"
Ocupados: Otra situación profesional,Personas con discapacidad,2019-01-01T00:00:00Z,"0,4"
Ocupados: Otra situación profesional,Personas con discapacidad,2018-01-01T00:00:00Z,"0,6"
Ocupados: Otra situación profesional,Personas con discapacidad,2017-01-01T00:00:00Z,"0,1"
Ocupados: Otra situación profesional,Personas con discapacidad,2016-01-01T00:00:00Z,"0,1"
Ocupados: Otra situación profesional,Personas con discapacidad,2015-01-01T00:00:00Z,"0,2"
Ocupados: Otra situación profesional,Personas con discapacidad,2014-01-01T00:00:00Z,"0,3"
Ocupados: Otra situación profesional,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"0,0"
Ocupados: Otra situación profesional,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"0,0"
Parados: Total,Total,2019-01-01T00:00:00Z,"3.235,5"
Parados: Total,Total,2018-01-01T00:00:00Z,"3.470,2"
Parados: Total,Total,2017-01-01T00:00:00Z,"3.909,5"
Parados: Total,Total,2016-01-01T00:00:00Z,"4.473,8"
Parados: Total,Total,2015-01-01T00:00:00Z,"5.049,6"
Parados: Total,Total,2014-01-01T00:00:00Z,"5.603,1"
Parados: Total,Personas sin discapacidad,2019-01-01T00:00:00Z,"3.082,9"
Parados: Total,Personas sin discapacidad,2018-01-01T00:00:00Z,"3.305,1"
Parados: Total,Personas sin discapacidad,2017-01-01T00:00:00Z,"3.738,7"
Parados: Total,Personas sin discapacidad,2016-01-01T00:00:00Z,"4.288,6"
Parados: Total,Personas sin discapacidad,2015-01-01T00:00:00Z,"4.863,3"
Parados: Total,Personas sin discapacidad,2014-01-01T00:00:00Z,"5.411,6"
Parados: Total,Personas con discapacidad,2019-01-01T00:00:00Z,"152,6"
Parados: Total,Personas con discapacidad,2018-01-01T00:00:00Z,"165,1"
Parados: Total,Personas con discapacidad,2017-01-01T00:00:00Z,"170,7"
Parados: Total,Personas con discapacidad,2016-01-01T00:00:00Z,"185,2"
Parados: Total,Personas con discapacidad,2015-01-01T00:00:00Z,"186,3"
Parados: Total,Personas con discapacidad,2014-01-01T00:00:00Z,"191,5"
Parados: Total,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"10,6"
Parados: Total,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"11,5"
Parados: Total,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"13,0"
Parados: Total,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"14,9"
Parados: Total,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"16,7"
Parados: Total,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"18,5"
Parados: Total,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"10,8"
Parados: Total,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"11,7"
Parados: Total,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"13,3"
Parados: Total,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"15,2"
Parados: Total,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"17,1"
Parados: Total,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"18,9"
Parados: Total,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"8,1"
Parados: Total,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"8,7"
Parados: Total,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"9,2"
Parados: Total,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"10,1"
Parados: Total,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"10,5"
Parados: Total,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"11,0"
Parados: Primer empleo,Total,2019-01-01T00:00:00Z,"331,1"
Parados: Primer empleo,Total,2018-01-01T00:00:00Z,"351,9"
Parados: Primer empleo,Total,2017-01-01T00:00:00Z,"409,0"
Parados: Primer empleo,Total,2016-01-01T00:00:00Z,"451,0"
Parados: Primer empleo,Total,2015-01-01T00:00:00Z,"533,9"
Parados: Primer empleo,Total,2014-01-01T00:00:00Z,"549,2"
Parados: Primer empleo,Personas sin discapacidad,2019-01-01T00:00:00Z,"318,8"
Parados: Primer empleo,Personas sin discapacidad,2018-01-01T00:00:00Z,"337,6"
Parados: Primer empleo,Personas sin discapacidad,2017-01-01T00:00:00Z,"394,9"
Parados: Primer empleo,Personas sin discapacidad,2016-01-01T00:00:00Z,"436,1"
Parados: Primer empleo,Personas sin discapacidad,2015-01-01T00:00:00Z,"517,3"
Parados: Primer empleo,Personas sin discapacidad,2014-01-01T00:00:00Z,"533,2"
Parados: Primer empleo,Personas con discapacidad,2019-01-01T00:00:00Z,"12,4"
Parados: Primer empleo,Personas con discapacidad,2018-01-01T00:00:00Z,"14,3"
Parados: Primer empleo,Personas con discapacidad,2017-01-01T00:00:00Z,"14,1"
Parados: Primer empleo,Personas con discapacidad,2016-01-01T00:00:00Z,"15,0"
Parados: Primer empleo,Personas con discapacidad,2015-01-01T00:00:00Z,"16,6"
Parados: Primer empleo,Personas con discapacidad,2014-01-01T00:00:00Z,"16,0"
Parados: Primer empleo,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"1,1"
Parados: Primer empleo,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"1,2"
Parados: Primer empleo,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"1,4"
Parados: Primer empleo,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"1,5"
Parados: Primer empleo,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"1,8"
Parados: Primer empleo,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"1,8"
Parados: Primer empleo,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"1,1"
Parados: Primer empleo,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"1,2"
Parados: Primer empleo,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"1,4"
Parados: Primer empleo,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"1,5"
Parados: Primer empleo,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"1,8"
Parados: Primer empleo,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"1,9"
Parados: Primer empleo,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"0,7"
Parados: Primer empleo,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"0,8"
Parados: Primer empleo,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"0,8"
Parados: Primer empleo,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"0,8"
Parados: Primer empleo,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"0,9"
Parados: Primer empleo,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"0,9"
Parados: Han trabajado antes,Total,2019-01-01T00:00:00Z,"2.904,4"
Parados: Han trabajado antes,Total,2018-01-01T00:00:00Z,"3.118,3"
Parados: Han trabajado antes,Total,2017-01-01T00:00:00Z,"3.500,5"
Parados: Han trabajado antes,Total,2016-01-01T00:00:00Z,"4.022,8"
Parados: Han trabajado antes,Total,2015-01-01T00:00:00Z,"4.515,8"
Parados: Han trabajado antes,Total,2014-01-01T00:00:00Z,"5.053,8"
Parados: Han trabajado antes,Personas sin discapacidad,2019-01-01T00:00:00Z,"2.764,1"
Parados: Han trabajado antes,Personas sin discapacidad,2018-01-01T00:00:00Z,"2.967,5"
Parados: Han trabajado antes,Personas sin discapacidad,2017-01-01T00:00:00Z,"3.343,8"
Parados: Han trabajado antes,Personas sin discapacidad,2016-01-01T00:00:00Z,"3.852,5"
Parados: Han trabajado antes,Personas sin discapacidad,2015-01-01T00:00:00Z,"4.346,0"
Parados: Han trabajado antes,Personas sin discapacidad,2014-01-01T00:00:00Z,"4.878,4"
Parados: Han trabajado antes,Personas con discapacidad,2019-01-01T00:00:00Z,"140,3"
Parados: Han trabajado antes,Personas con discapacidad,2018-01-01T00:00:00Z,"150,8"
Parados: Han trabajado antes,Personas con discapacidad,2017-01-01T00:00:00Z,"156,6"
Parados: Han trabajado antes,Personas con discapacidad,2016-01-01T00:00:00Z,"170,3"
Parados: Han trabajado antes,Personas con discapacidad,2015-01-01T00:00:00Z,"169,8"
Parados: Han trabajado antes,Personas con discapacidad,2014-01-01T00:00:00Z,"175,5"
Parados: Han trabajado antes,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"9,5"
Parados: Han trabajado antes,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"10,3"
Parados: Han trabajado antes,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"11,6"
Parados: Han trabajado antes,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"13,4"
Parados: Han trabajado antes,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"15,0"
Parados: Han trabajado antes,Porcentaje vertical: Total,2014-01-01T00:00:00Z,"16,7"
Parados: Han trabajado antes,Porcentaje vertical: Personas sin discapacidad,2019-01-01T00:00:00Z,"9,7"
Parados: Han trabajado antes,Porcentaje vertical: Personas sin discapacidad,2018-01-01T00:00:00Z,"10,5"
Parados: Han trabajado antes,Porcentaje vertical: Personas sin discapacidad,2017-01-01T00:00:00Z,"11,9"
Parados: Han trabajado antes,Porcentaje vertical: Personas sin discapacidad,2016-01-01T00:00:00Z,"13,6"
Parados: Han trabajado antes,Porcentaje vertical: Personas sin discapacidad,2015-01-01T00:00:00Z,"15,3"
Parados: Han trabajado antes,Porcentaje vertical: Personas sin discapacidad,2014-01-01T00:00:00Z,"17,1"
Parados: Han trabajado antes,Porcentaje vertical: Personas con discapacidad,2019-01-01T00:00:00Z,"7,5"
Parados: Han trabajado antes,Porcentaje vertical: Personas con discapacidad,2018-01-01T00:00:00Z,"7,9"
Parados: Han trabajado antes,Porcentaje vertical: Personas con discapacidad,2017-01-01T00:00:00Z,"8,4"
Parados: Han trabajado antes,Porcentaje vertical: Personas con discapacidad,2016-01-01T00:00:00Z,"9,3"
Parados: Han trabajado antes,Porcentaje vertical: Personas con discapacidad,2015-01-01T00:00:00Z,"9,6"
Parados: Han trabajado antes,Porcentaje vertical: Personas con discapacidad,2014-01-01T00:00:00Z,"10,1"
Inactivos: Total,Total,2019-01-01T00:00:00Z,"7.615,8"
Inactivos: Total,Total,2018-01-01T00:00:00Z,"7.574,1"
Inactivos: Total,Total,2017-01-01T00:00:00Z,"7.492,4"
Inactivos: Total,Total,2016-01-01T00:00:00Z,"7.407,9"
Inactivos: Total,Total,2015-01-01T00:00:00Z,"7.407,3"
Inactivos: Total,Total,2014-01-01T00:00:00Z,"7.497,8"
Inactivos: Total,Personas sin discapacidad,2019-01-01T00:00:00Z,"6.377,5"
Inactivos: Total,Personas sin discapacidad,2018-01-01T00:00:00Z,"6.328,9"
Inactivos: Total,Personas sin discapacidad,2017-01-01T00:00:00Z,"6.283,6"
Inactivos: Total,Personas sin discapacidad,2016-01-01T00:00:00Z,"6.214,4"
Inactivos: Total,Personas sin discapacidad,2015-01-01T00:00:00Z,"6.233,7"
Inactivos: Total,Personas sin discapacidad,2014-01-01T00:00:00Z,"6.341,4"
Inactivos: Total,Personas con discapacidad,2019-01-01T00:00:00Z,"1.238,4"
Inactivos: Total,Personas con discapacidad,2018-01-01T00:00:00Z,"1.245,1"
Inactivos: Total,Personas con discapacidad,2017-01-01T00:00:00Z,"1.208,8"
Inactivos: Total,Personas con discapacidad,2016-01-01T00:00:00Z,"1.193,5"
Inactivos: Total,Personas con discapacidad,2015-01-01T00:00:00Z,"1.173,6"
Inactivos: Total,Personas con discapacidad,2014-01-01T00:00:00Z,"1.156,3"
Inactivos: Total,Porcentaje vertical: Total,2019-01-01T00:00:00Z,"25,0"
Inactivos: Total,Porcentaje vertical: Total,2018-01-01T00:00:00Z,"25,1"
Inactivos: Total,Porcentaje vertical: Total,2017-01-01T00:00:00Z,"24,9"
Inactivos: Total,Porcentaje vertical: Total,2016-01-01T00:00:00Z,"24,6"
Inactivos: Total,Porcentaje vertical: Total,2015-01-01T00:00:00Z,"24,5"
